timestamp_us,particle_id,x_m,y_m,z_m,vel_mps
40000,171,-0.07899238434077839,-0.1159985701787642,0.4399514796174238,2.580013994409214
40000,126,-0.32658826791350426,-0.17443324042270722,0.4857666270701495,1.7866637647914667
40000,214,-0.28908806158199785,-0.09445981109156384,0.42028789460166815,2.4602614536997254
40000,243,-0.01587066222060551,-0.009932689161047632,0.15069502345849117,0.980146469517772
40000,284,0.055255373770839035,0.14439041023387197,0.41662419154783553,4.411788147311076
40000,323,0.07178347132925372,0.09070542792748355,0.12392213574378853,1.4881072335251173
40000,330,0.06423486790069007,0.10730879094313676,0.14147505580348865,2.9852069678066817
40000,350,0.07236029429251582,0.10410098726509098,0.13573623972445525,2.5135775890785728
40000,331,0.07446483686824037,0.09968530025209558,0.13031730761343405,2.4711378045967844
40000,327,0.0794804812340548,0.0896380557803598,0.11740265498303182,1.7487799066124063
40000,326,0.0783427958921593,0.08209504536812057,0.10866960581717446,1.373881901382136
60000,130,-0.42900347720095455,-0.2818367316808977,0.6726374473362838,4.3949489639639845
60000,243,-0.02284819732093801,-0.006376527658607851,0.1625650785547827,0.7110388327946707
60000,126,-0.3086260262753485,-0.13864868990069884,0.4587436717482303,2.4152723940893854
60000,283,0.12090526845939721,0.08382514607284916,0.5746850859972404,4.377548284976367
60000,284,0.04200437298581343,0.09755914465053853,0.3686803246163695,3.4159079445601215
60000,277,0.04805487317530296,0.08866917897732911,0.3418275817204781,4.007925123350243
60000,307,0.012931486875655443,0.1895447118165313,0.580733564444796,4.591064629552819
60000,350,0.12896589056015728,0.11454979903744587,0.14712707427591123,2.933906230628362
80000,160,-0.09065571088519722,-0.09504249561224201,0.22479053738360916,1.6847122198064712
80000,262,-0.04086456067362061,-0.009276239854470295,0.2489235452392917,1.3650985387789267
80000,126,-0.32226050263274914,-0.12971320743363124,0.4637184131272684,0.8521881310017512
80000,165,-0.022668227601037483,-0.04193024861408706,0.15315475485638758,0.819328926632929
80000,220,-0.24021403756054405,0.002377846079153818,0.546110059588947,5.118715497602907
80000,283,0.0989625373974867,0.07046581782061269,0.5249859449605346,2.797302145636359
80000,277,0.031966380700988006,0.08655458530883586,0.2864282555296385,2.886345630238159
80000,284,0.05858752239362318,0.09355235566970824,0.29632577198104476,3.7169330399122824
80000,275,0.06916026254081413,0.14565754113879364,0.43238885673356475,7.266887227853704
80000,331,0.08275315072824273,0.09987111491895016,0.13144616111405688,0.41834490542551667
80000,350,0.11986686333235431,0.11294818319190474,0.1470041275218597,0.46198643300783193
100000,126,-0.3420163058688723,-0.11550062094885315,0.48232779735438086,1.5318277949919923
100000,290,-0.04584861290453539,0.03974544906196614,0.23245540389506775,1.8642568125525303
100000,291,0.04331561096270961,0.024945597209898054,0.1825248330953863,1.6502939586474776
100000,270,0.0010820575019610636,0.07799692548192069,0.36259426291192925,3.2694897363530475
100000,281,0.024186808957249308,0.07091768657094998,0.2385609559706637,2.3381029767624795
100000,280,0.03065498413082552,0.06304031875603343,0.24733862481195837,1.9871924649832113
100000,314,-0.006576595099900987,0.1063489510721083,0.3714978684332676,4.557037981620721
100000,275,-0.022177329235058715,0.11945167098658303,0.4155200965424461,4.825416658754969
100000,277,0.03432020569260758,0.07335542025043736,0.25609507534507925,1.6582070667131412
100000,284,0.02608477826447455,0.10949749194573456,0.327402354759662,2.3855972753076986
100000,315,0.055462237378270746,0.12421885688356074,0.34845091931488253,5.13552837133822
120000,247,-0.048864150703483294,-0.015082570800778914,0.22637418068452764,0.8667249629511139
120000,282,0.20273364793284473,0.08629382130012692,0.8589917545334264,7.443648599329166
120000,278,0.03980366560604371,0.037526256635845315,0.2127217639184534,1.3531701430898126
120000,271,-0.016317948640624146,0.05763608387786945,0.27577802527919254,2.040609727815039
120000,281,-0.009261390155790864,0.06029704188723158,0.2620147480993065,2.110486011927682
120000,314,-0.0048736938163226814,0.09822542775694282,0.3608947837299116,0.6732698364329721
120000,277,0.015262402418503657,0.07045305558555782,0.271070623328862,1.2205435507356623
120000,280,0.02129591818966866,0.0776334207593961,0.2882168266193425,2.2201228143825134
120000,284,0.013026016899229475,0.08978589509208523,0.31118390504440957,1.4336286217858056
120000,275,0.04657349874401449,0.13937062569668315,0.45750623291738124,4.1491796635738085
120000,272,0.03788083413437118,0.07003245556479,0.242157381434006,3.142830253941357
120000,307,0.015319839436599977,0.17451147067137768,0.5606586843681646,1.2596660047159738
120000,283,0.03025219434775064,0.15371369448109448,0.48438090356639835,5.766300719939674
140000,247,-0.054333873700529126,-0.023491788776759153,0.22363838479140055,0.5198975759724511
140000,213,-0.7763741852774445,-0.10434014603542238,0.9856544755492282,4.39220100379605
140000,276,0.1159662780983153,0.07479283706219242,0.5013664194986586,3.7275537262474607
140000,290,-0.03514300579510086,0.04893055687427428,0.2528796131793554,1.2410928188432182
140000,307,0.11411173237165008,0.09410722025077867,0.5657904615585617,6.373973786524517
140000,281,-0.025175371267427877,0.05100085180627055,0.25797399308872754,0.9434002940141808
140000,271,-0.020401035624045678,0.06032794022841554,0.26418310639467546,0.6292055186198952
140000,277,-0.031040605895195465,0.06661973460567998,0.28350433598715663,2.404818152741646
140000,291,0.030402174937757057,0.035637772277589144,0.16255014587717515,1.3039052564451008
140000,272,-0.0043532052921043795,0.0552389010584497,0.23504059345452513,2.2656191274980646
140000,275,-0.012784591746969273,0.11961053599353037,0.43924031134096636,3.2586377302671274
